name,apirest_id,original_id,latitude,longitude
Pilar,900000000000000000115,DEM_PILAR13,-31.6674417777778,-63.8325246111111
Altos Fierro,900000000000000000032,UNDEFINED,-31.6579032777778,-64.3159968888889
Porteña,900000000000000000116,DEM_PORTEN13,-31.0051185277778,-62.0652771388889
Anizacate,900000000000000000033,UNDEFINED,-31.7134683888889,-64.4043058888889
Este,900000000000000000016,DEM_ESTE13,-31.428915,-64.135261
Puesto Las Calles Pampa de Achala,200000000000000003700,3700,-31.75722,-64.85416
APRHi - Río Quilpo,100000000000000030385,30385,-30.7966,-64.696056
EMA-Epec Villa del Rosario,100000000000000030651,30651,-31.55557,-63.541737
Cno 60 Cuadras AgriculturaCba,100000000000000030057,30057,-31.5414,-64.1266
EPEC - Arroyo Cabral,100000000000000030141,30141,-32.496,-63.4226
APRHI- A. de las Piedras (Cuenca Alta-Rº J. María)),100000000000000030484,30484,-30.818577,-64.210573
Pozo del Molle,900000000000000000117,DEM_PMOLLE13,-32.0158826944444,-62.9140012777778
Oeste,900000000000000000017,DEM_OESTE13,-31.393323,-64.206688
Arias,900000000000000000034,DEM_ARIAS13,-33.6332490555556,-62.4127463888889
Arroyito,900000000000000000035,DEM_ARROYI13,-31.4188568888889,-63.022358
Pretroquímica Río III,900000000000000000118,UNDEFINED,-32.1610788888889,-64.1506320277778
Arroyo Algodon,900000000000000000036,DEM_ALGODO13,-32.1977578333333,-63.1578016111111
APRHI-EMA Dique Pichanas,100000000000000030499,30499,-30.907997,-65.186465
Pru_30527,100000000000000030527,30527,-30.9161587,-63.8799074
Establecimiento El Chalet,100000000000000030583,30583,-30.0,-63.0
Colonia Almada AgriculturaCba,100000000000000030054,30054,-32.0366,-63.8668
APRHi - Ascochinga,100000000000000030083,30083,-30.9598,-64.2831
Promaiz,900000000000000000119,DEM_PROMAIZ13,-33.3622503888889,-63.7062087777778
Quilino,900000000000000000120,DEM_QUILINO13,-30.2138362777778,-64.4925151944445
Arroyo Cabral,900000000000000000037,UNDEFINED,-32.4971456944444,-63.4232989444444
Quilpo,900000000000000000121,DEM_QUILPO13,-30.8387993611111,-64.6919033888889
Ausonia,900000000000000000038,DEM_AUSONI13,-32.6583630555556,-63.2452745833333
Realicó,900000000000000000122,UNDEFINED,-35.0546442222222,-64.2445956111111
Balnearia,900000000000000000039,DEM_BALNEA13,-31.0117789722222,-62.670782
Escuela Ceferino Namuncurá,200000000000000002500,2500,-31.86583,-64.88416
APRHi - Casa Grande - Reserva Tatú Carreta,100000000000000030502,30502,-31.161502,-64.475165
Los Surgentes AgriculturaCba,100000000000000030264,30264,-32.987403,-62.01359
APRHi - Fuga,100000000000000030205,30205,-30.6877,-64.8416
